Date,Time,Type,Wind,Pressure,Latitude(°N),Longitude(°E),Humidity(%),Temperature(°C),Visibility(km),Precipitation(mm),SST(°C),Storm Surge(m),Wave Height(m),Air Density(kg/m³)
14-Jul,18:00,Low Pressure Area,46,937,13.2,79.1,81,20,6,24,11,0.3,0.9,1.225
14-Jul,12:00,Depression,212,962,16.2,83.7,98,13,13,37,12,1.0,0.5,1.225
15-Jul,0:00,Extremely Severe Cyclonic Storm,124,955,16.4,78.4,92,4,13,23,23,1.1,1.6,1.225
15-Jul,12:00,Depression,98,999,13.3,75.2,86,8,4,71,13,1.0,0.7,1.225
15-Jul,18:00,Extremely Severe Cyclonic Storm,93,993,18.1,81.2,86,24,11,44,15,0.9,0.5,1.225
15-Jul,6:00,Extremely Severe Cyclonic Storm,189,988,16.1,78.8,81,26,7,30,25,1.5,1.2,1.225
16-Jul,0:00,Extremely Severe Cyclonic Storm,73,950,14.5,83.8,83,5,12,98,14,0.3,1.8,1.225
16-Jul,12:00,Depression,136,950,16.0,78.5,90,13,13,14,14,0.5,1.3,1.225
16-Jul,0:00,Disturbance,171,1004,8.5,76.3,87,4,2,20,11,0.7,1.8,1.225
16-Jul,12:00,Depression,72,996,20.0,75.9,79,16,1,16,11,0.8,1.1,1.225
17-Jul,0:00,Low Pressure Area,196,977,8.8,84.9,86,16,2,96,26,0.9,0.7,1.225
17-Jul,18:00,Extremely Severe Cyclonic Storm,67,968,19.6,79.4,80,18,10,96,21,0.2,0.2,1.225
17-Jul,12:00,Depression,148,965,10.7,82.3,90,13,4,68,22,0.5,0.7,1.225
17-Jul,0:00,Severe Cyclonic Storm,124,1003,15.3,84.6,88,25,6,97,13,0.2,1.4,1.225
18-Jul,6:00,Depression,181,983,20.0,83.3,98,17,0,33,20,1.4,0.8,1.225
18-Jul,12:00,Depression,124,977,8.7,82.7,86,7,12,48,19,0.3,0.8,1.225
18-Jul,6:00,Low Pressure Area,190,953,17.6,77.8,81,23,13,20,12,0.5,0.3,1.225
18-Jul,18:00,Low Pressure Area,143,975,8.2,73.5,88,4,2,46,25,0.7,0.6,1.225
19-Jul,6:00,Disturbance,86,958,17.5,79.7,88,7,9,54,16,0.6,1.4,1.225
19-Jul,18:00,Very Severe Cyclonic Storm,73,963,11.1,73.6,84,21,3,97,13,0.2,1.7,1.225
19-Jul,0:00,Cyclonic Storm,60,954,10.6,83.6,81,23,12,82,23,1.0,1.1,1.225
19-Jul,18:00,Cyclonic Storm,58,978,15.4,77.4,87,14,6,83,12,1.0,1.7,1.225
20-Jul,0:00,Disturbance,139,992,9.9,74.9,76,8,13,63,15,0.2,1.2,1.225
20-Jul,18:00,Very Severe Cyclonic Storm,52,945,10.9,83.3,93,25,12,33,25,0.2,0.3,1.225
20-Jul,12:00,Very Severe Cyclonic Storm,171,942,11.2,83.8,76,20,9,5,24,1.4,0.6,1.225
20-Jul,6:00,Severe Cyclonic Storm,190,981,14.1,77.0,83,21,9,67,11,0.4,0.3,1.225
21-Jul,18:00,Cyclonic Storm,193,951,11.2,84.9,83,19,4,83,17,0.7,1.0,1.225
21-Jul,12:00,Very Severe Cyclonic Storm,87,981,16.8,79.4,91,9,7,93,22,0.6,1.8,1.225
21-Jul,6:00,Severe Cyclonic Storm,76,937,16.6,78.3,99,18,6,16,19,0.2,1.9,1.225
21-Jul,18:00,Cyclonic Storm,153,986,13.8,80.3,90,6,2,53,13,0.5,0.7,1.225
22-Jul,0:00,Cyclonic Storm,93,994,18.2,81.3,86,13,14,75,11,1.4,0.8,1.225
22-Jul,0:00,Cyclonic Storm,87,941,8.6,74.9,98,20,8,28,21,0.3,2.0,1.225
22-Jul,0:00,Extremely Severe Cyclonic Storm,96,978,9.5,81.3,96,9,11,43,18,1.3,1.2,1.225
22-Jul,18:00,Disturbance,98,938,10.1,84.3,96,15,2,58,10,1.1,1.7,1.225
23-Jul,12:00,Cyclonic Storm,67,987,16.7,82.6,80,12,8,70,21,1.0,1.1,1.225
23-Jul,0:00,Cyclonic Storm,108,994,17.9,76.6,81,23,2,98,16,1.0,0.9,1.225
23-Jul,12:00,Extremely Severe Cyclonic Storm,108,950,11.8,82.8,75,19,2,40,22,1.3,1.9,1.225
23-Jul,0:00,Disturbance,92,1000,13.1,81.8,84,16,13,53,27,0.2,0.7,1.225
24-Jul,6:00,Severe Cyclonic Storm,91,985,11.9,74.6,93,27,8,85,24,0.7,0.2,1.225
24-Jul,0:00,Disturbance,112,979,13.3,73.3,90,19,6,30,26,0.9,1.9,1.225
24-Jul,12:00,Very Severe Cyclonic Storm,177,985,19.7,74.5,94,17,5,56,22,0.8,1.1,1.225
24-Jul,0:00,Very Severe Cyclonic Storm,107,947,12.9,74.5,78,20,0,48,17,0.7,1.1,1.225
25-Jul,0:00,Extremely Severe Cyclonic Storm,211,960,11.3,81.4,97,27,7,31,24,0.7,2.0,1.225
25-Jul,12:00,Cyclonic Storm,54,958,14.3,79.5,81,19,6,21,10,0.6,0.8,1.225
25-Jul,12:00,Depression,104,974,20.0,83.2,75,26,8,13,22,0.8,1.4,1.225
25-Jul,12:00,Very Severe Cyclonic Storm,82,968,9.9,79.0,75,4,0,30,10,1.1,1.9,1.225
26-Jul,12:00,Severe Cyclonic Storm,167,1004,10.7,74.1,96,13,6,42,13,0.9,1.6,1.225
26-Jul,6:00,Disturbance,197,945,16.1,80.7,87,10,2,12,21,1.1,1.0,1.225
26-Jul,6:00,Low Pressure Area,62,972,18.5,79.5,99,11,9,18,12,0.6,0.2,1.225
26-Jul,18:00,Disturbance,150,968,12.9,83.9,82,23,12,7,27,0.2,0.4,1.225
27-Jul,0:00,Low Pressure Area,194,950,12.2,80.1,75,10,8,90,20,0.9,1.8,1.225
27-Jul,18:00,Disturbance,96,986,19.1,80.7,77,13,6,74,13,1.1,1.0,1.225
27-Jul,12:00,Depression,57,1001,17.6,74.8,94,20,7,10,25,1.2,1.8,1.225
27-Jul,18:00,Disturbance,180,1000,17.7,76.4,76,14,7,45,25,0.5,1.3,1.225
28-Jul,6:00,Very Severe Cyclonic Storm,192,952,9.9,79.8,78,10,13,39,21,0.2,1.6,1.225
28-Jul,18:00,Cyclonic Storm,155,944,8.4,76.9,82,20,11,50,21,0.3,0.8,1.225
28-Jul,6:00,Low Pressure Area,200,956,15.3,76.1,93,6,4,44,17,1.5,1.0,1.225
28-Jul,0:00,Disturbance,194,942,11.6,78.4,83,11,9,66,25,0.4,1.2,1.225
29-Jul,12:00,Severe Cyclonic Storm,138,973,9.6,77.6,90,13,5,46,18,0.6,0.1,1.225
29-Jul,18:00,Depression,36,985,19.4,82.3,91,7,10,96,17,0.7,0.2,1.225
29-Jul,12:00,Low Pressure Area,142,996,8.8,77.1,96,24,2,21,19,1.1,0.3,1.225
29-Jul,0:00,Depression,150,988,17.4,77.7,93,17,3,42,27,0.3,1.5,1.225
30-Jul,6:00,Disturbance,55,998,12.1,82.1,91,18,0,50,22,0.3,0.9,1.225
30-Jul,12:00,Cyclonic Storm,213,994,19.2,82.1,92,27,1,39,25,1.3,1.2,1.225
30-Jul,6:00,Cyclonic Storm,157,935,18.5,74.2,99,8,2,63,25,0.5,0.8,1.225
30-Jul,0:00,Cyclonic Storm,130,995,8.6,83.2,87,26,0,50,24,0.7,1.5,1.225
31-Jul,18:00,Severe Cyclonic Storm,195,976,9.0,77.8,79,27,10,34,22,0.1,1.8,1.225
31-Jul,0:00,Low Pressure Area,177,940,11.4,76.2,85,27,12,89,14,1.5,1.8,1.225
31-Jul,12:00,Extremely Severe Cyclonic Storm,198,954,19.5,76.3,94,6,8,20,13,1.4,1.3,1.225
31-Jul,18:00,Very Severe Cyclonic Storm,118,964,18.2,75.2,77,14,6,62,22,1.3,0.2,1.225
01-Aug,6:00,Severe Cyclonic Storm,157,969,15.3,74.8,83,11,8,85,24,0.9,0.8,1.225
01-Aug,12:00,Depression,176,962,17.2,79.2,96,16,14,37,13,0.9,1.6,1.225
01-Aug,18:00,Extremely Severe Cyclonic Storm,181,950,11.1,76.3,98,21,13,67,26,0.3,1.1,1.225
01-Aug,6:00,Severe Cyclonic Storm,66,964,11.6,75.6,98,19,1,31,21,1.2,1.0,1.225
02-Aug,12:00,Extremely Severe Cyclonic Storm,166,975,14.6,76.6,96,23,13,95,11,1.4,1.0,1.225
02-Aug,18:00,Low Pressure Area,123,961,15.0,73.6,96,16,6,93,24,0.7,1.1,1.225
02-Aug,6:00,Very Severe Cyclonic Storm,135,961,17.3,77.5,82,13,2,56,15,0.9,0.5,1.225
02-Aug,18:00,Low Pressure Area,158,940,10.7,75.3,79,17,10,17,11,1.3,1.8,1.225
03-Aug,6:00,Severe Cyclonic Storm,189,959,8.4,79.4,83,8,12,96,12,1.1,0.7,1.225
03-Aug,0:00,Very Severe Cyclonic Storm,197,980,8.7,76.7,91,7,11,95,12,0.3,1.8,1.225
03-Aug,0:00,Extremely Severe Cyclonic Storm,213,999,9.8,83.7,98,6,8,68,26,1.4,1.7,1.225
03-Aug,18:00,Extremely Severe Cyclonic Storm,110,939,11.3,79.8,83,12,2,41,14,1.3,1.3,1.225
04-Aug,0:00,Severe Cyclonic Storm,75,995,13.0,83.4,95,17,5,56,20,0.8,0.6,1.225
04-Aug,18:00,Extremely Severe Cyclonic Storm,210,974,16.6,74.2,86,11,12,32,25,1.1,1.5,1.225
04-Aug,0:00,Depression,174,997,16.7,76.0,99,17,14,17,11,1.1,0.4,1.225
04-Aug,0:00,Cyclonic Storm,43,943,10.6,75.5,77,16,7,81,26,1.0,1.7,1.225
05-Aug,0:00,Cyclonic Storm,198,981,11.8,78.9,90,11,7,73,12,1.2,1.4,1.225
05-Aug,0:00,Cyclonic Storm,217,975,13.6,84.2,99,6,3,77,14,1.0,0.9,1.225
05-Aug,18:00,Severe Cyclonic Storm,179,996,14.7,74.3,89,25,5,14,11,0.9,1.1,1.225
05-Aug,18:00,Extremely Severe Cyclonic Storm,109,963,13.2,79.5,86,7,0,94,14,0.9,0.2,1.225
06-Aug,18:00,Very Severe Cyclonic Storm,144,972,14.5,75.5,82,13,10,4,22,1.2,1.7,1.225
06-Aug,6:00,Cyclonic Storm,43,984,9.1,79.2,95,7,7,43,16,1.4,0.4,1.225
06-Aug,0:00,Severe Cyclonic Storm,40,947,9.6,82.3,96,6,2,12,14,0.7,1.0,1.225
06-Aug,0:00,Low Pressure Area,69,968,11.6,77.1,91,26,14,87,25,0.5,1.7,1.225
07-Aug,12:00,Severe Cyclonic Storm,188,951,10.8,73.4,81,13,1,47,12,0.6,1.7,1.225
07-Aug,6:00,Very Severe Cyclonic Storm,104,980,19.4,81.3,78,21,8,70,11,0.7,1.1,1.225
07-Aug,12:00,Very Severe Cyclonic Storm,213,974,13.0,82.2,76,16,5,67,19,0.8,1.9,1.225
07-Aug,18:00,Disturbance,159,948,9.8,80.8,81,19,0,38,23,1.2,1.5,1.225
08-Aug,0:00,Cyclonic Storm,70,993,12.3,83.8,90,7,1,32,16,0.9,0.8,1.225
08-Aug,0:00,Low Pressure Area,108,951,19.4,82.3,76,9,7,27,10,1.5,1.7,1.225
08-Aug,18:00,Very Severe Cyclonic Storm,101,987,12.2,77.1,82,16,9,11,24,1.1,0.2,1.225
08-Aug,12:00,Low Pressure Area,63,978,8.7,76.6,92,25,1,76,21,1.2,1.2,1.225
09-Aug,12:00,Depression,156,999,15.8,73.9,83,11,12,34,23,0.8,1.7,1.225
09-Aug,6:00,Severe Cyclonic Storm,138,994,17.5,73.6,90,12,5,88,27,0.2,0.6,1.225
09-Aug,0:00,Depression,76,952,11.9,81.0,88,26,1,79,19,0.3,1.4,1.225
09-Aug,6:00,Low Pressure Area,192,959,17.3,79.5,75,12,4,81,14,1.0,1.1,1.225
10-Aug,18:00,Severe Cyclonic Storm,72,997,8.1,77.4,82,13,3,47,22,1.4,1.1,1.225
10-Aug,18:00,Cyclonic Storm,212,1000,11.1,78.7,92,27,10,35,21,0.9,1.1,1.225
10-Aug,12:00,Severe Cyclonic Storm,114,938,12.3,80.0,85,20,14,72,22,0.8,0.6,1.225
10-Aug,18:00,Severe Cyclonic Storm,56,945,12.0,83.1,83,5,14,63,27,0.9,1.7,1.225
11-Aug,0:00,Disturbance,63,990,18.2,75.6,89,26,10,59,23,1.3,1.4,1.225
11-Aug,18:00,Severe Cyclonic Storm,143,952,17.9,77.0,88,12,1,73,15,1.0,1.9,1.225
11-Aug,6:00,Extremely Severe Cyclonic Storm,110,999,17.5,76.7,95,5,9,79,25,0.4,2.0,1.225
11-Aug,12:00,Low Pressure Area,206,987,19.1,74.5,75,7,13,54,14,0.6,0.9,1.225
12-Aug,0:00,Very Severe Cyclonic Storm,100,960,11.1,84.0,99,23,7,80,10,0.3,0.6,1.225
12-Aug,6:00,Extremely Severe Cyclonic Storm,106,995,14.6,84.3,95,25,14,69,18,0.4,0.9,1.225
12-Aug,6:00,Severe Cyclonic Storm,186,963,12.6,74.5,93,10,5,92,22,0.6,1.3,1.225
12-Aug,12:00,Cyclonic Storm,134,1003,12.4,82.0,86,7,11,95,18,0.8,1.9,1.225
13-Aug,18:00,Disturbance,89,946,13.1,82.2,91,13,12,57,15,0.8,0.4,1.225
13-Aug,0:00,Disturbance,125,989,12.7,79.6,99,11,1,12,13,0.1,0.2,1.225
13-Aug,6:00,Cyclonic Storm,194,946,10.2,75.2,90,8,0,78,23,0.2,1.0,1.225
13-Aug,0:00,Severe Cyclonic Storm,47,945,13.0,77.4,98,4,11,33,19,1.3,0.8,1.225
14-Aug,0:00,Cyclonic Storm,143,966,17.6,81.1,98,19,11,66,16,1.0,1.2,1.225
14-Aug,12:00,Low Pressure Area,119,962,18.2,80.1,88,21,1,10,19,0.5,0.4,1.225
14-Aug,12:00,Severe Cyclonic Storm,130,975,19.3,82.7,88,15,8,80,23,1.0,0.2,1.225
14-Aug,12:00,Severe Cyclonic Storm,134,943,18.3,76.9,95,4,14,75,21,1.0,1.9,1.225
15-Aug,12:00,Very Severe Cyclonic Storm,51,1003,16.2,73.1,80,16,12,66,16,0.5,0.8,1.225
15-Aug,0:00,Cyclonic Storm,115,988,12.6,74.0,83,19,4,99,16,0.6,0.2,1.225
15-Aug,12:00,Very Severe Cyclonic Storm,214,955,14.5,81.2,90,22,7,16,21,1.2,1.8,1.225
15-Aug,12:00,Cyclonic Storm,73,950,19.5,79.5,79,14,8,98,25,1.1,0.8,1.225
16-Aug,6:00,Extremely Severe Cyclonic Storm,218,952,14.9,78.6,96,22,0,38,27,1.5,0.5,1.225
16-Aug,18:00,Very Severe Cyclonic Storm,113,943,14.3,81.5,84,10,8,9,24,1.1,0.2,1.225
16-Aug,12:00,Extremely Severe Cyclonic Storm,219,988,12.9,84.7,88,23,0,75,14,0.2,1.6,1.225
16-Aug,0:00,Extremely Severe Cyclonic Storm,168,1003,8.4,77.7,92,20,13,14,15,0.2,1.3,1.225
17-Aug,6:00,Extremely Severe Cyclonic Storm,110,961,15.0,80.0,88,8,5,87,26,0.8,0.6,1.225
17-Aug,12:00,Low Pressure Area,146,983,8.4,81.1,88,20,9,80,16,0.3,1.8,1.225
17-Aug,6:00,Very Severe Cyclonic Storm,173,971,10.6,81.3,89,8,7,77,15,0.9,1.5,1.225
17-Aug,18:00,Disturbance,44,993,17.5,79.4,77,27,5,46,10,1.2,0.9,1.225
18-Aug,18:00,Very Severe Cyclonic Storm,132,948,17.5,75.7,93,9,2,32,11,0.9,1.1,1.225
18-Aug,0:00,Disturbance,175,976,10.7,80.5,82,27,6,6,21,1.2,0.4,1.225
18-Aug,12:00,Cyclonic Storm,114,967,8.0,84.7,75,26,4,79,24,0.9,0.6,1.225
18-Aug,6:00,Depression,51,937,18.6,85.0,93,11,8,81,22,1.2,0.6,1.225
19-Aug,12:00,Extremely Severe Cyclonic Storm,133,938,12.2,77.2,76,19,11,4,10,1.5,1.7,1.225
19-Aug,0:00,Very Severe Cyclonic Storm,120,983,11.1,74.9,86,20,2,57,13,0.3,0.6,1.225
19-Aug,0:00,Disturbance,190,968,14.1,77.9,78,14,12,6,12,1.4,1.4,1.225
19-Aug,6:00,Disturbance,119,962,13.3,83.5,94,12,2,47,16,0.3,1.0,1.225
20-Aug,0:00,Cyclonic Storm,42,955,16.7,80.7,78,21,5,28,23,1.0,0.7,1.225
20-Aug,12:00,Extremely Severe Cyclonic Storm,92,944,8.5,78.3,89,5,12,42,11,1.0,0.8,1.225
20-Aug,12:00,Very Severe Cyclonic Storm,207,972,14.6,73.7,75,21,13,62,15,1.2,1.2,1.225
20-Aug,0:00,Low Pressure Area,194,935,13.6,73.7,83,10,4,87,23,1.0,1.3,1.225
21-Aug,6:00,Cyclonic Storm,136,941,18.4,81.4,92,13,8,54,18,0.3,0.9,1.225
21-Aug,6:00,Disturbance,41,958,13.0,74.1,98,19,13,54,21,0.5,0.9,1.225
21-Aug,18:00,Very Severe Cyclonic Storm,77,939,13.7,80.4,92,6,14,32,23,1.3,1.2,1.225
21-Aug,12:00,Low Pressure Area,38,978,15.0,74.3,99,13,3,1,21,0.4,0.5,1.225
22-Aug,18:00,Low Pressure Area,180,1001,17.0,77.6,78,27,11,45,12,1.0,0.2,1.225
22-Aug,18:00,Low Pressure Area,172,994,12.5,84.5,91,14,1,35,20,0.9,0.9,1.225
22-Aug,18:00,Severe Cyclonic Storm,169,937,11.8,79.6,91,5,0,68,25,0.3,1.7,1.225
22-Aug,0:00,Low Pressure Area,116,996,10.1,73.2,97,14,8,38,24,0.8,1.2,1.225
23-Aug,0:00,Cyclonic Storm,169,999,19.2,78.7,86,11,4,64,18,0.9,1.1,1.225
23-Aug,0:00,Very Severe Cyclonic Storm,180,985,15.0,80.1,84,22,11,58,17,1.2,0.2,1.225
23-Aug,0:00,Severe Cyclonic Storm,165,965,11.4,80.3,77,7,8,20,26,0.7,0.4,1.225
23-Aug,6:00,Disturbance,47,958,8.2,73.1,96,23,9,10,14,0.9,0.7,1.225
24-Aug,0:00,Low Pressure Area,126,966,13.8,77.9,79,6,7,12,14,0.2,1.9,1.225
24-Aug,18:00,Extremely Severe Cyclonic Storm,147,983,8.5,82.7,95,4,6,58,10,0.3,1.6,1.225
24-Aug,0:00,Depression,100,935,18.8,73.7,93,6,2,16,19,0.2,1.1,1.225
24-Aug,12:00,Very Severe Cyclonic Storm,175,1000,16.2,78.6,75,13,7,34,21,0.5,0.3,1.225
25-Aug,0:00,Cyclonic Storm,81,997,19.7,81.9,92,20,5,22,15,1.0,0.4,1.225
25-Aug,6:00,Low Pressure Area,155,970,18.0,84.0,84,5,12,78,25,0.9,0.5,1.225
25-Aug,6:00,Depression,156,1004,11.8,83.5,91,21,10,32,16,1.0,0.4,1.225
25-Aug,0:00,Disturbance,104,989,14.0,74.1,81,12,1,98,17,1.4,1.3,1.225
26-Aug,12:00,Depression,113,956,8.8,79.4,89,25,0,30,14,0.3,0.9,1.225
26-Aug,12:00,Severe Cyclonic Storm,55,995,9.5,73.4,95,23,0,90,10,1.1,1.6,1.225
26-Aug,6:00,Severe Cyclonic Storm,84,971,19.4,81.9,84,15,6,57,22,0.9,2.0,1.225
26-Aug,6:00,Depression,81,958,19.7,78.2,83,26,12,74,12,1.3,1.3,1.225
27-Aug,18:00,Disturbance,53,945,9.4,84.0,83,22,2,98,21,1.0,0.9,1.225
27-Aug,18:00,Very Severe Cyclonic Storm,106,951,14.2,79.0,90,19,7,81,16,0.6,1.4,1.225
27-Aug,0:00,Very Severe Cyclonic Storm,81,951,18.6,77.6,97,14,8,39,13,0.5,0.4,1.225
27-Aug,12:00,Severe Cyclonic Storm,178,937,17.3,77.9,92,8,1,13,24,1.0,0.3,1.225
28-Aug,0:00,Very Severe Cyclonic Storm,52,983,8.5,81.7,89,8,13,52,13,0.3,0.9,1.225
28-Aug,18:00,Disturbance,213,984,18.8,79.5,84,11,5,70,20,0.7,0.5,1.225
28-Aug,12:00,Extremely Severe Cyclonic Storm,185,949,8.7,82.1,75,24,5,62,11,0.6,1.6,1.225
28-Aug,12:00,Very Severe Cyclonic Storm,49,939,13.6,76.9,77,11,7,17,15,1.0,1.5,1.225
29-Aug,0:00,Extremely Severe Cyclonic Storm,144,995,10.5,81.7,97,20,5,66,11,0.6,1.0,1.225
29-Aug,0:00,Low Pressure Area,188,972,12.4,82.8,90,4,4,15,18,0.9,1.2,1.225
29-Aug,12:00,Cyclonic Storm,66,968,14.5,78.6,85,19,14,40,19,0.9,0.4,1.225
29-Aug,18:00,Low Pressure Area,199,999,19.2,76.1,81,5,7,39,11,0.2,1.1,1.225
30-Aug,12:00,Cyclonic Storm,75,997,12.1,83.6,75,20,10,89,26,1.2,1.5,1.225
30-Aug,12:00,Severe Cyclonic Storm,128,976,16.9,74.3,82,24,4,38,16,1.2,0.8,1.225
30-Aug,0:00,Very Severe Cyclonic Storm,161,944,19.3,83.2,92,15,0,99,16,0.4,0.3,1.225
30-Aug,0:00,Very Severe Cyclonic Storm,184,955,17.8,83.9,97,27,0,75,12,0.2,1.4,1.225
31-Aug,18:00,Very Severe Cyclonic Storm,130,988,13.3,77.0,90,26,12,53,10,1.0,1.3,1.225
31-Aug,6:00,Very Severe Cyclonic Storm,59,940,19.9,84.2,85,22,1,74,23,1.4,1.5,1.225
31-Aug,6:00,Disturbance,49,942,12.9,81.3,77,19,2,30,10,0.9,1.4,1.225
31-Aug,12:00,Severe Cyclonic Storm,214,972,11.4,84.0,79,20,10,6,16,1.0,1.1,1.225
01-Sep,12:00,Low Pressure Area,57,993,18.7,82.3,90,22,10,56,10,0.9,1.1,1.225
01-Sep,0:00,Depression,101,997,15.2,80.0,89,24,2,17,23,0.2,0.8,1.225
01-Sep,12:00,Depression,214,998,19.8,74.0,89,7,5,24,17,0.2,1.3,1.225
01-Sep,6:00,Low Pressure Area,72,940,17.9,75.1,94,5,1,28,21,0.5,0.9,1.225
02-Sep,0:00,Cyclonic Storm,59,941,16.6,74.9,95,15,6,49,21,0.7,0.7,1.225
02-Sep,6:00,Severe Cyclonic Storm,87,935,16.2,81.1,87,19,0,85,12,1.1,0.7,1.225
02-Sep,18:00,Very Severe Cyclonic Storm,64,963,18.8,79.6,97,26,2,17,18,0.6,1.9,1.225
02-Sep,6:00,Very Severe Cyclonic Storm,70,952,8.8,79.8,92,20,2,98,10,0.6,0.2,1.225
03-Sep,12:00,Very Severe Cyclonic Storm,77,977,13.8,74.3,86,25,7,83,11,0.9,2.0,1.225
03-Sep,6:00,Very Severe Cyclonic Storm,131,949,13.4,77.7,75,20,0,78,22,0.5,0.3,1.225
03-Sep,12:00,Extremely Severe Cyclonic Storm,70,971,12.5,73.3,75,13,14,19,24,0.9,1.8,1.225
03-Sep,0:00,Severe Cyclonic Storm,217,936,13.4,78.2,95,7,7,19,18,0.6,1.6,1.225
04-Sep,6:00,Depression,72,951,13.1,76.5,91,25,3,94,19,1.5,0.8,1.225
04-Sep,0:00,Disturbance,67,1004,17.2,75.0,88,23,10,90,18,0.6,1.2,1.225
04-Sep,18:00,Severe Cyclonic Storm,69,952,8.8,81.8,86,21,3,82,12,0.2,1.7,1.225
04-Sep,0:00,Low Pressure Area,155,982,19.4,81.9,84,14,0,51,15,1.4,1.3,1.225
05-Sep,6:00,Low Pressure Area,191,989,15.1,73.9,93,19,6,55,18,0.7,0.6,1.225
05-Sep,18:00,Disturbance,159,965,18.7,76.6,98,7,0,54,12,0.3,0.3,1.225
05-Sep,18:00,Severe Cyclonic Storm,175,951,12.3,75.7,77,27,3,12,18,0.8,1.4,1.225
05-Sep,6:00,Depression,40,1004,11.9,78.1,83,9,8,26,14,0.3,0.2,1.225
06-Sep,12:00,Disturbance,128,941,12.2,77.7,94,26,6,89,27,0.5,0.4,1.225
06-Sep,18:00,Depression,40,997,17.3,77.2,91,6,1,59,18,0.8,2.0,1.225
06-Sep,0:00,Cyclonic Storm,157,953,16.9,82.1,80,13,3,99,27,0.6,0.7,1.225
06-Sep,12:00,Severe Cyclonic Storm,214,939,9.1,74.7,78,22,13,42,10,1.3,0.7,1.225
07-Sep,18:00,Very Severe Cyclonic Storm,212,955,15.8,74.6,87,26,8,96,10,1.2,1.9,1.225
07-Sep,0:00,Cyclonic Storm,37,966,19.1,75.2,91,11,5,87,21,0.6,1.2,1.225
07-Sep,12:00,Depression,128,968,13.1,76.4,99,21,6,85,15,0.9,0.7,1.225
07-Sep,6:00,Disturbance,145,951,13.0,78.7,99,24,6,42,17,0.4,1.5,1.225
08-Sep,12:00,Low Pressure Area,90,965,13.6,74.9,84,19,3,82,23,1.0,1.7,1.225
08-Sep,6:00,Low Pressure Area,207,985,9.8,80.6,96,19,1,99,17,0.2,1.1,1.225
08-Sep,12:00,Depression,206,940,19.0,84.4,82,9,14,23,12,1.1,0.1,1.225
08-Sep,6:00,Extremely Severe Cyclonic Storm,133,997,9.1,79.8,97,22,3,81,20,0.6,1.3,1.225
09-Sep,0:00,Low Pressure Area,191,978,15.6,81.2,93,13,13,19,25,0.7,1.5,1.225
09-Sep,18:00,Low Pressure Area,170,953,18.6,77.0,87,15,0,65,16,0.5,0.3,1.225
09-Sep,12:00,Low Pressure Area,192,976,12.2,80.0,89,17,6,89,10,1.3,1.9,1.225
09-Sep,6:00,Disturbance,157,985,17.6,84.3,77,10,4,38,12,0.4,0.6,1.225
10-Sep,18:00,Extremely Severe Cyclonic Storm,219,959,8.1,80.3,98,18,12,54,24,0.1,0.2,1.225
10-Sep,18:00,Very Severe Cyclonic Storm,217,960,17.7,75.5,81,9,7,27,24,0.1,1.3,1.225
10-Sep,6:00,Severe Cyclonic Storm,70,935,18.9,80.6,96,8,6,26,12,0.4,1.8,1.225
10-Sep,12:00,Severe Cyclonic Storm,81,960,14.6,73.4,86,12,7,15,18,0.5,1.4,1.225
11-Sep,12:00,Disturbance,176,942,12.5,73.3,95,22,13,29,14,0.2,1.1,1.225
11-Sep,0:00,Depression,62,966,16.7,81.5,86,23,8,18,18,1.3,0.3,1.225
11-Sep,0:00,Severe Cyclonic Storm,156,993,9.5,73.7,93,6,5,26,23,0.2,1.0,1.225
11-Sep,6:00,Cyclonic Storm,211,942,12.4,75.6,84,12,4,96,16,0.3,0.3,1.225
12-Sep,18:00,Disturbance,166,937,13.1,83.5,91,17,8,45,25,0.7,0.9,1.225
12-Sep,0:00,Low Pressure Area,211,992,14.2,79.2,89,7,13,38,19,0.5,1.6,1.225
12-Sep,12:00,Cyclonic Storm,174,1002,17.5,82.6,87,19,5,35,26,0.9,1.8,1.225
12-Sep,0:00,Cyclonic Storm,185,990,8.3,78.2,94,16,7,76,26,1.3,1.9,1.225
13-Sep,6:00,Very Severe Cyclonic Storm,39,998,15.4,79.8,76,8,1,96,24,0.8,0.2,1.225
13-Sep,6:00,Depression,139,983,13.2,77.5,96,16,8,15,23,1.2,0.2,1.225
13-Sep,12:00,Depression,135,968,16.1,78.5,88,8,5,40,26,0.6,1.4,1.225
13-Sep,6:00,Extremely Severe Cyclonic Storm,124,954,9.7,74.1,99,20,2,66,26,1.4,0.6,1.225
14-Sep,6:00,Depression,198,962,12.9,76.6,99,18,10,45,19,0.6,1.8,1.225
14-Sep,0:00,Disturbance,135,944,16.7,83.3,75,11,7,90,17,0.4,0.2,1.225
14-Sep,6:00,Cyclonic Storm,171,982,17.4,77.0,78,15,7,72,26,0.6,2.0,1.225
14-Sep,18:00,Depression,163,951,10.6,79.0,78,6,5,35,14,0.8,1.3,1.225
15-Sep,12:00,Severe Cyclonic Storm,218,960,14.7,79.5,94,25,0,13,22,1.1,1.2,1.225
15-Sep,12:00,Severe Cyclonic Storm,133,958,19.5,84.2,78,19,14,87,23,1.2,1.8,1.225
15-Sep,18:00,Low Pressure Area,161,994,9.8,82.4,86,5,1,41,23,0.2,1.4,1.225
